-s3,-q1,-q2,-s9,-s6,s1,-s4,s7,-s2,r16,p14,q10,-p1,r2,-r4,-r5,-r6,-r1,-r3,-s13,-p2,-r14,-s5,-r10
-q3,-q2,-q5,-q4,-q6,-q9,q1,s7,-s2,-s1,r16,-q13,p14,q10,-p1,r2,-r4,-r5,-r6,-r1,-r3,-p2,-r14,-r10
-s3,-q3,-q2,-q5,-q4,-q6,-q9,q1,s2,-s5,-s4,s7,-s1,r16,-s14,-q13,p14,q10,-p1,-r1,-r2,-s10,-s6,-p2
-q1,-q2,s7,-s2,-s1,r16,-p13,-p6,-p4,-p5,p14,q10,-p9,p1,r2,-r4,-r5,-r6,-r1,-r3,-p2,-r14,-r10,-p3
-s3,-q1,-q2,s2,-s5,-s4,s7,-s1,r16,-p13,-s14,-p6,-p4,-p5,p14,q10,-p9,p1,-r1,-r2,-s10,-s6,-p2,-p3
-s3,-q1,-q2,-s6,-s5,-s4,s7,-s1,r16,-s14,p14,q10,-p1,-r9,r1,-r4,-r5,-r6,-r2,-r3,-s10,s2,-p2,-r13
